date,bcpi
1990-01-01,279.66
1990-02-01,276.68
1990-03-01,274.14
1990-04-01,268.09
1990-05-01,269.44
1990-06-01,262.25
1990-07-01,264.98
1990-08-01,287.36
1990-09-01,297.96
1990-10-01,299.93
1990-11-01,286.59
1990-12-01,274.4
1991-01-01,268.7
1991-02-01,257.18
1991-03-01,255.4
1991-04-01,257.03
1991-05-01,257.25
1991-06-01,255.94
1991-07-01,252.28
1991-08-01,244.8
1991-09-01,242.61
1991-10-01,247.76
1991-11-01,247.45
1991-12-01,243.78
1992-01-01,245.02
1992-02-01,247.32
1992-03-01,246.82
1992-04-01,252.32
1992-05-01,254.46
1992-06-01,260
1992-07-01,256.82
1992-08-01,255.48
1992-09-01,258.7
1992-10-01,254.56
1992-11-01,253.24
1992-12-01,255.98
1993-01-01,256.31
1993-02-01,266.81
1993-03-01,276.25
1993-04-01,265.84
1993-05-01,257.89
1993-06-01,250.8
1993-07-01,246.38
1993-08-01,248.94
1993-09-01,249.91
1993-10-01,249.74
1993-11-01,257.35
1993-12-01,260.57
1994-01-01,261.62
1994-02-01,264.12
1994-03-01,262.14
1994-04-01,255.7
1994-05-01,265.64
1994-06-01,268.65
1994-07-01,266.43
1994-08-01,263.63
1994-09-01,257.02
1994-10-01,258.03
1994-11-01,268.48
1994-12-01,266.82
1995-01-01,273.27
1995-02-01,270.88
1995-03-01,270.75
1995-04-01,272.77
1995-05-01,273.28
1995-06-01,276.33
1995-07-01,280.66
1995-08-01,281.01
1995-09-01,288.27
1995-10-01,285.37
1995-11-01,289.71
1995-12-01,294.69
1996-01-01,289.39
1996-02-01,288.98
1996-03-01,292.92
1996-04-01,301.34
1996-05-01,300.69
1996-06-01,293.92
1996-07-01,295.85
1996-08-01,298.77
1996-09-01,290.68
1996-10-01,294.54
1996-11-01,302.68
1996-12-01,311.24
1997-01-01,313.29
1997-02-01,295.76
1997-03-01,281.38
1997-04-01,279.37
1997-05-01,284.43
1997-06-01,279.75
1997-07-01,276.67
1997-08-01,276.04
1997-09-01,272.36
1997-10-01,281.73
1997-11-01,283.29
1997-12-01,263.89
1998-01-01,252.27
1998-02-01,249.85
1998-03-01,246.61
1998-04-01,251.62
1998-05-01,246.72
1998-06-01,237.64
1998-07-01,238.24
1998-08-01,232.75
1998-09-01,229.85
1998-10-01,229.77
1998-11-01,230.1
1998-12-01,224.05
1999-01-01,230.73
1999-02-01,227.32
1999-03-01,233.34
1999-04-01,242.73
1999-05-01,255.57
1999-06-01,259.94
1999-07-01,269.28
1999-08-01,268.57
1999-09-01,277.56
1999-10-01,270.58
1999-11-01,290.37
1999-12-01,284.45
2000-01-01,294.22
2000-02-01,307.71
2000-03-01,310.74
2000-04-01,304.06
2000-05-01,319.84
2000-06-01,337.88
2000-07-01,325.77
2000-08-01,329.76
2000-09-01,345.55
2000-10-01,338.52
2000-11-01,350.94
2000-12-01,369.09
2001-01-01,356.52
2001-02-01,323.98
2001-03-01,316.14
2001-04-01,322.98
2001-05-01,324.19
2001-06-01,306.09
2001-07-01,282.4
2001-08-01,282.95
2001-09-01,255.54
2001-10-01,242.64
2001-11-01,233.42
2001-12-01,236.88
2002-01-01,238.73
2002-02-01,246.23
2002-03-01,273.81
2002-04-01,281.4
2002-05-01,283.77
2002-06-01,273.89
2002-07-01,274.67
2002-08-01,275.12
2002-09-01,280.8
2002-10-01,288.12
2002-11-01,279.38
2002-12-01,300.33
2003-01-01,322.29
2003-02-01,362.81
2003-03-01,334.44
2003-04-01,314.75
2003-05-01,325.75
2003-06-01,339.19
2003-07-01,325.31
2003-08-01,330.88
2003-09-01,320.08
2003-10-01,321.95
2003-11-01,324.81
2003-12-01,356.73
2004-01-01,370.24
2004-02-01,368.41
2004-03-01,378.15
2004-04-01,389.41
2004-05-01,412.3
2004-06-01,404.66
2004-07-01,407.98
2004-08-01,413.07
2004-09-01,404.66
2004-10-01,437.52
2004-11-01,422.89
2004-12-01,420.88
2005-01-01,430.08
2005-02-01,438.92
2005-03-01,477.07
2005-04-01,475.23
2005-05-01,448.28
2005-06-01,477.63
2005-07-01,489.39
2005-08-01,534.32
2005-09-01,588
2005-10-01,588.52
2005-11-01,536.81
2005-12-01,582.12
2006-01-01,548.73
2006-02-01,522.96
2006-03-01,516.83
2006-04-01,551.87
2006-05-01,548.17
2006-06-01,538.28
2006-07-01,553.71
2006-08-01,567.43
2006-09-01,496.8
2006-10-01,499.66
2006-11-01,531.87
2006-12-01,531.37
2007-01-01,501.9
2007-02-01,544.88
2007-03-01,540.54
2007-04-01,567.45
2007-05-01,569.69
2007-06-01,572.86
2007-07-01,566.37
2007-08-01,551.28
2007-09-01,567.02
2007-10-01,598.38
2007-11-01,627.62
2007-12-01,617.23
2008-01-01,648.78
2008-02-01,686.64
2008-03-01,728.23
2008-04-01,766.67
2008-05-01,829.62
2008-06-01,881.31
2008-07-01,860.7
2008-08-01,748.85
2008-09-01,687.11
2008-10-01,545.82
2008-11-01,469.49
2008-12-01,391.92
2009-01-01,399.85
2009-02-01,381.79
2009-03-01,410.36
2009-04-01,413.11
2009-05-01,456.04
2009-06-01,491.81
2009-07-01,462.75
2009-08-01,484.47
2009-09-01,466.86
2009-10-01,507.8
2009-11-01,518.2
2009-12-01,545.47
2010-01-01,568.36
2010-02-01,555.62
2010-03-01,562.19
2010-04-01,574.73
2010-05-01,538.76
2010-06-01,542.67
2010-07-01,542.42
2010-08-01,540.14
2010-09-01,530.76
2010-10-01,561.89
2010-11-01,580.4
2010-12-01,612.64
2011-01-01,625.52
2011-02-01,632.97
