date,m1
1990-01-01,122173
1990-02-01,122593
1990-03-01,123363
1990-04-01,123241
1990-05-01,123893
1990-06-01,123019
1990-07-01,121857
1990-08-01,122035
1990-09-01,121651
1990-10-01,122731
1990-11-01,123767
1990-12-01,125114
1991-01-01,126541
1991-02-01,126565
1991-03-01,127798
1991-04-01,128147
1991-05-01,129345
1991-06-01,128764
1991-07-01,130160
1991-08-01,129928
1991-09-01,129273
1991-10-01,128908
1991-11-01,130360
1991-12-01,131166
1992-01-01,131385
1992-02-01,131871
1992-03-01,132511
1992-04-01,132833
1992-05-01,133241
1992-06-01,132825
1992-07-01,134117
1992-08-01,135001
1992-09-01,137031
1992-10-01,137239
1992-11-01,137354
1992-12-01,136592
1993-01-01,136373
1993-02-01,136168
1993-03-01,136031
1993-04-01,136141
1993-05-01,138417
1993-06-01,141466
1993-07-01,141455
1993-08-01,143002
1993-09-01,145372
1993-10-01,145483
1993-11-01,146640
1993-12-01,148243
1994-01-01,149824
1994-02-01,152136
1994-03-01,153076
1994-04-01,153970
1994-05-01,153906
1994-06-01,153745
1994-07-01,154311
1994-08-01,153454
1994-09-01,152752
1994-10-01,153489
1994-11-01,152866
1994-12-01,153048
1995-01-01,154004
1995-02-01,152998
1995-03-01,152863
1995-04-01,153054
1995-05-01,151515
1995-06-01,152645
1995-07-01,153499
1995-08-01,154309
1995-09-01,155578
1995-10-01,156523
1995-11-01,156789
1995-12-01,157156
1996-01-01,157534
1996-02-01,159556
1996-03-01,162558
1996-04-01,162854
1996-05-01,165283
1996-06-01,167373
1996-07-01,167375
1996-08-01,168533
1996-09-01,169398
1996-10-01,171966
1996-11-01,174162
1996-12-01,175978
1997-01-01,177158
1997-02-01,179569
1997-03-01,180693
1997-04-01,182261
1997-05-01,183648
1997-06-01,185297
1997-07-01,186033
1997-08-01,188111
1997-09-01,188084
1997-10-01,189478
1997-11-01,192253
1997-12-01,193323
1998-01-01,195027
1998-02-01,194658
1998-03-01,195396
1998-04-01,195251
1998-05-01,196723
1998-06-01,196538
1998-07-01,198291
1998-08-01,199524
1998-09-01,200328
1998-10-01,200787
1998-11-01,200559
1998-12-01,200484
1999-01-01,202763
1999-02-01,203817
1999-03-01,204180
1999-04-01,206240
1999-05-01,208052
1999-06-01,207591
1999-07-01,209232
1999-08-01,211231
1999-09-01,211581
1999-10-01,212416
1999-11-01,213541
1999-12-01,215489
2000-01-01,216688
2000-02-01,221673
2000-03-01,225082
2000-04-01,228485
2000-05-01,228101
2000-06-01,230062
2000-07-01,231897
2000-08-01,232699
2000-09-01,235280
2000-10-01,237172
2000-11-01,238162
2000-12-01,241495
2001-01-01,241236
2001-02-01,244021
2001-03-01,246074
2001-04-01,247510
2001-05-01,251786
2001-06-01,250389
2001-07-01,252626
2001-08-01,253387
2001-09-01,259557
2001-10-01,260571
2001-11-01,265155
2001-12-01,269505
2002-01-01,271787
2002-02-01,272881
2002-03-01,274278
2002-04-01,275020
2002-05-01,275200
2002-06-01,277003
2002-07-01,278738
2002-08-01,281298
2002-09-01,282817
2002-10-01,284626
2002-11-01,284463
2002-12-01,283074
2003-01-01,283707
2003-02-01,283112
2003-03-01,283057
2003-04-01,282288
2003-05-01,284292
2003-06-01,286165
2003-07-01,291375
2003-08-01,293614
2003-09-01,294963
2003-10-01,294154
2003-11-01,295696
2003-12-01,297280
2004-01-01,300740
2004-02-01,303689
2004-03-01,306122
2004-04-01,309306
2004-05-01,313952
2004-06-01,315344
2004-07-01,315878
2004-08-01,316026
2004-09-01,316179
2004-10-01,317248
2004-11-01,317483
2004-12-01,321653
2005-01-01,324382
2005-02-01,326783
2005-03-01,328193
2005-04-01,330593
2005-05-01,333187
2005-06-01,333710
2005-07-01,332110
