date,overnight,overnight_meta
1996-01-01,5.5057,5.56
1996-02-01,5.1771,5.19
1996-03-01,4.9386,5
1996-04-01,4.7557,4.75
1996-05-01,4.77,4.75
1996-06-01,4.7171,4.75
1996-07-01,4.5443,4.5
1996-08-01,4.0157,4
1996-09-01,4.0329,4
1996-10-01,3.4157,3.25
1996-11-01,3.0071,3
1996-12-01,3.01,3
1997-01-01,2.9986,3
1997-02-01,2.9843,3
1997-03-01,2.9629,3
1997-04-01,3.0357,3
1997-05-01,2.9571,3
1997-06-01,2.9657,3.25
1997-07-01,3.2429,3.25
1997-08-01,3.2671,3.25
1997-09-01,3.2357,3.25
1997-10-01,3.54,3.5
1997-11-01,3.5529,3.75
1997-12-01,4.3357,4.25
1998-01-01,4.2843,4.75
1998-02-01,4.7114,4.75
1998-03-01,4.6829,4.75
1998-04-01,4.7257,4.75
1998-05-01,4.7386,4.75
1998-06-01,4.74,4.75
1998-07-01,4.77,4.75
1998-08-01,4.72,5.75
1998-09-01,5.7271,5.5
1998-10-01,5.2329,5.25
1998-11-01,4.9514,5
1998-12-01,5.1129,5
1999-01-01,4.9914,5
1999-02-01,4.9957,5
1999-03-01,4.9943,4.75
1999-04-01,4.7771,4.75
1999-05-01,4.5929,4.5
1999-06-01,4.5957,4.5
1999-07-01,4.6114,4.5
1999-08-01,4.6229,4.5
1999-09-01,4.5786,4.5
1999-10-01,4.6057,4.5
1999-11-01,4.7714,4.75
1999-12-01,4.7586,4.75
2000-01-01,4.77,4.75
2000-02-01,4.9714,5
2000-03-01,5.2486,5.25
2000-04-01,5.2586,5.25
2000-05-01,5.7529,5.75
2000-06-01,5.75,5.75
2000-07-01,5.7271,5.75
2000-08-01,5.7514,5.75
2000-09-01,5.7429,5.75
2000-10-01,5.7514,5.75
2000-11-01,5.75,5.75
2000-12-01,5.8,5.75
2001-01-01,5.4914,5.5
2001-02-01,5.49,5.5
2001-03-01,4.9927,5
2001-04-01,4.7442,4.75
2001-05-01,4.67,4.5
2001-06-01,4.4935,4.5
2001-07-01,4.2414,4.25
2001-08-01,4.1679,4
2001-09-01,3.4858,3.5
2001-10-01,2.7412,2.75
2001-11-01,2.5955,2.25
2001-12-01,2.2444,2.25
2002-01-01,1.9923,2
2002-02-01,1.9926,2
2002-03-01,1.9933,2
2002-04-01,2.244,2.25
2002-05-01,2.2471,2.25
2002-06-01,2.4964,2.5
2002-07-01,2.7418,2.75
2002-08-01,2.7448,2.75
2002-09-01,2.7447,2.75
2002-10-01,2.7449,2.75
2002-11-01,2.7431,2.75
2002-12-01,2.7439,2.75
2003-01-01,2.7439,2.75
2003-02-01,2.7469,2.75
2003-03-01,2.992,3
2003-04-01,3.2373,3.25
2003-05-01,3.2416,3.25
2003-06-01,3.2449,3.25
2003-07-01,2.9947,3
2003-08-01,2.9972,3
2003-09-01,2.749,2.75
2003-10-01,2.7492,2.75
2003-11-01,2.7481,2.75
2003-12-01,2.7481,2.75
2004-01-01,2.4951,2.5
2004-02-01,2.4953,2.5
2004-03-01,2.2482,2.25
2004-04-01,1.9959,2
2004-05-01,1.9985,2
2004-06-01,2.0005,2
2004-07-01,1.9973,2
2004-08-01,1.9979,2
2004-09-01,2.2496,2.25
2004-10-01,2.496,2.5
2004-11-01,2.4977,2.5
2004-12-01,2.4999,2.5
2005-01-01,2.498,2.5
2005-02-01,2.4971,2.5
2005-03-01,2.4794,2.5
2005-04-01,2.4954,2.5
2005-05-01,2.4866,2.5
2005-06-01,2.4936,2.5
2005-07-01,2.4922,2.5
2005-08-01,2.4882,2.5
2005-09-01,2.7421,2.75
2005-10-01,2.9873,3
2005-11-01,2.9883,3
2005-12-01,3.2437,3.25
2006-01-01,3.2961,3.5
2006-02-01,3.4765,3.5
2006-03-01,3.7269,3.75
2006-04-01,3.8182,4
2006-05-01,4.2126,4.25
2006-06-01,4.2455,4.25
2006-07-01,4.2442,4.25
2006-08-01,4.2427,4.25
2006-09-01,4.2465,4.25
2006-10-01,4.2335,4.25
2006-11-01,4.2476,4.25
2006-12-01,4.2482,4.25
2007-01-01,4.2447,4.25
2007-02-01,4.2504,4.25
2007-03-01,4.2432,4.25
2007-04-01,4.2471,4.25
2007-05-01,4.2352,4.25
2007-06-01,4.2536,4.25
2007-07-01,4.504,4.5
2007-08-01,4.4158,4.5
2007-09-01,4.4637,4.5
2007-10-01,4.5086,4.5
2007-11-01,4.5105,4.5
2007-12-01,4.2597,4.25
2008-01-01,4.006,4
2008-02-01,3.9994,4
2008-03-01,3.4585,3.5
2008-04-01,3.0298,3
2008-05-01,2.9988,3
2008-06-01,2.9915,3
2008-07-01,3.0195,3
2008-08-01,3.0003,3
2008-09-01,2.9904,3
2008-10-01,2.2522,2.25
2008-11-01,2.2448,2.25
2008-12-01,1.5017,1.5
2009-01-01,1.0044,1
2009-02-01,0.9978,1
2009-03-01,0.4883,0.5
2009-04-01,0.248,0.25
2009-05-01,0.2432,0.25
2009-06-01,0.2412,0.25
2009-07-01,0.2417,0.25
2009-08-01,0.2425,0.25
2009-09-01,0.2417,0.25
2009-10-01,0.2403,0.25
2009-11-01,0.2435,0.25
2009-12-01,0.2455,0.25
2010-01-01,0.2442,0.25
2010-02-01,0.2476,0.25
2010-03-01,0.2443,0.25
2010-04-01,0.248,0.25
2010-05-01,0.2437,0.25
2010-06-01,0.4928,0.5
2010-07-01,0.74,0.75
2010-08-01,0.7481,0.75
2010-09-01,0.9976,1
2010-10-01,0.9969,1
2010-11-01,0.9997,1
2010-12-01,0.9924,1
2011-01-01,0.9937,1
2011-02-01,0.9934,1
2011-03-01,0.9944,1
2011-04-01,0.997,1
2011-05-01,0.9967,1
2011-06-01,0.9981,1
2011-07-01,0.9986,1
2011-08-01,0.9977,1
2011-09-01,0.9989,1
2011-10-01,0.9993,1
2011-11-01,0.9983,1
2011-12-01,0.9998,1
2012-01-01,0.9987,1
2012-02-01,0.9978,1
2012-03-01,0.998,1
2012-04-01,1.0079,1
2012-05-01,1,1
2012-06-01,0.9984,1
2012-07-01,0.9974,1
2012-08-01,0.999,1
2012-09-01,0.9991,1
2012-10-01,1.0024,1
2012-11-01,0.9985,1
2012-12-01,0.9982,1
2013-01-01,1.0048,1
2013-02-01,1.0072,1
2013-03-01,1.0065,1
2013-04-01,1.0036,1
2013-05-01,1.0063,1
2013-06-01,1.0067,1
2013-07-01,0.9998,1
2013-08-01,0.9978,1
2013-09-01,0.9948,1
2013-10-01,0.9994,1
2013-11-01,0.9997,1
2013-12-01,1.0012,1
2014-01-01,0.9993,1
2014-02-01,0.9945,1
2014-03-01,0.998,1
2014-04-01,0.9978,1
2014-05-01,0.9978,1
2014-06-01,0.9988,1
2014-07-01,0.999,1
2014-08-01,0.9976,1
2014-09-01,0.9979,1
2014-10-01,1.0024,1
2014-11-01,1,1
2014-12-01,1.0114,1
2015-01-01,0.7502,0.75
2015-02-01,0.7595,0.75
2015-03-01,0.7558,0.75
2015-04-01,0.7473,0.75
2015-05-01,0.727,0.75
2015-06-01,0.7464,0.75
2015-07-01,0.5019,0.5
2015-08-01,0.5026,0.5
2015-09-01,0.5002,0.5
2015-10-01,0.4991,0.5
2015-11-01,0.4967,0.5
2015-12-01,0.5242,0.5
2016-01-01,0.5153,0.5
2016-02-01,0.4991,0.5
2016-03-01,0.4981,0.5
2016-04-01,0.5005,0.5
2016-05-01,0.4974,0.5
