date,pib
1997-01-01,1200427
1997-02-01,1207984
1997-03-01,1207836
1997-04-01,1216027
1997-05-01,1220355
1997-06-01,1222650
1997-07-01,1235807
1997-08-01,1237361
1997-09-01,1239488
1997-10-01,1244300
1997-11-01,1245279
1997-12-01,1256596
1998-01-01,1251276
1998-02-01,1263285
1998-03-01,1267784
1998-04-01,1268479
1998-05-01,1266172
1998-06-01,1265876
1998-07-01,1265509
1998-08-01,1277712
1998-09-01,1281876
1998-10-01,1287736
1998-11-01,1291195
1998-12-01,1303212
1999-01-01,1307658
1999-02-01,1313944
1999-03-01,1314242
1999-04-01,1323164
1999-05-01,1325374
1999-06-01,1334509
1999-07-01,1341912
1999-08-01,1348795
1999-09-01,1357768
1999-10-01,1361723
1999-11-01,1373037
1999-12-01,1382070
2000-01-01,1389075
2000-02-01,1389135
2000-03-01,1400565
2000-04-01,1398972
2000-05-01,1406793
2000-06-01,1411961
2000-07-01,1415071
2000-08-01,1420264
2000-09-01,1422834
2000-10-01,1425565
2000-11-01,1426613
2000-12-01,1430277
2001-01-01,1430465
2001-02-01,1430086
2001-03-01,1430984
2001-04-01,1429758
2001-05-01,1435864
2001-06-01,1434670
2001-07-01,1432538
2001-08-01,1437285
2001-09-01,1429507
2001-10-01,1435965
2001-11-01,1445138
2001-12-01,1443458
2002-01-01,1458948
2002-02-01,1466791
2002-03-01,1465211
2002-04-01,1475574
2002-05-01,1477787
2002-06-01,1479462
2002-07-01,1485217
2002-08-01,1490765
2002-09-01,1487347
2002-10-01,1496308
2002-11-01,1495605
2002-12-01,1491093
2003-01-01,1498814
2003-02-01,1502703
2003-03-01,1501137
2003-04-01,1496182
2003-05-01,1500560
2003-06-01,1504985
2003-07-01,1512785
2003-08-01,1498298
2003-09-01,1516781
2003-10-01,1523419
2003-11-01,1525034
2003-12-01,1531448
2004-01-01,1534133
2004-02-01,1533153
2004-03-01,1546782
2004-04-01,1550713
2004-05-01,1552199
2004-06-01,1559745
2004-07-01,1561166
2004-08-01,1567772
2004-09-01,1572150
2004-10-01,1572634
2004-11-01,1578521
2004-12-01,1578808
2005-01-01,1586464
2005-02-01,1587514
2005-03-01,1582075
2005-04-01,1593743
2005-05-01,1600541
2005-06-01,1605305
2005-07-01,1609419
2005-08-01,1615485
