modelo,variavel,h,q16,q50,q84
Baseline (K = 5),PIB real,0,-0.11578457557581195,0.03285523279889601,0.1411129018655493
Baseline (K = 5),PIB real,1,-0.1009027862389153,0.01717321206899054,0.11308806494478618
Baseline (K = 5),PIB real,2,-0.09955569183727869,0.023628560508649102,0.11730241138349096
Baseline (K = 5),PIB real,3,-0.09871618891701178,0.02334650479179671,0.12838488221167732
Baseline (K = 5),PIB real,4,-0.10776708745890998,0.021195647440498046,0.13860382584135572
Baseline (K = 5),PIB real,5,-0.11224431992119119,0.038295286482207036,0.15729506463463777
Baseline (K = 5),PIB real,6,-0.09974511640406941,0.054354482171351276,0.17877464834328233
Baseline (K = 5),PIB real,7,-0.08901562010432706,0.06449444284681358,0.19820228418285446
Baseline (K = 5),PIB real,8,-0.07978183626203962,0.07787076462553427,0.21886735466026627
Baseline (K = 5),PIB real,9,-0.07771870887181052,0.0865334196374927,0.23930245844422293
Baseline (K = 5),PIB real,10,-0.07665403807050013,0.09143901960711398,0.25577357859011834
Baseline (K = 5),PIB real,11,-0.06642362993631687,0.10028640477601672,0.26589368963774385
Baseline (K = 5),PIB real,12,-0.06823155612723296,0.10621484528611216,0.27223751266900476
Baseline (K = 5),PIB real,13,-0.06743649093420268,0.10731604484998078,0.2808119015506578
Baseline (K = 5),PIB real,14,-0.0709937669355939,0.10584708360157065,0.2871359157376758
Baseline (K = 5),PIB real,15,-0.07247055109577652,0.10494588932825141,0.28756401238132917
Baseline (K = 5),PIB real,16,-0.07598982241524715,0.101180025965799,0.28254480382363684
Baseline (K = 5),PIB real,17,-0.07799219943924632,0.09730561680002693,0.27576144194318863
Baseline (K = 5),PIB real,18,-0.08084005689362703,0.09350658317455801,0.26366819306003564
Baseline (K = 5),PIB real,19,-0.08069960271785312,0.09389118724544826,0.2582047923635054
Baseline (K = 5),PIB real,20,-0.08304124705434086,0.08601392460040559,0.254174226447303
Baseline (K = 5),PIB real,21,-0.08590278147620113,0.08195510808857748,0.2496130868936789
Baseline (K = 5),PIB real,22,-0.08950448206489268,0.07825377654938474,0.24596295738504562
Baseline (K = 5),PIB real,23,-0.08697342894349688,0.07697431028667047,0.24158510091558005
Baseline (K = 5),PIB real,24,-0.08578805264175235,0.07097649118165901,0.2387763293663306
Baseline (K = 5),PIB real,25,-0.08775536201370004,0.0664302890720106,0.23280085846299914
Baseline (K = 5),PIB real,26,-0.09213202019312276,0.06369409195674827,0.22451944164893792
Baseline (K = 5),PIB real,27,-0.0976857087968833,0.05872040835668871,0.2193692952925785
Baseline (K = 5),PIB real,28,-0.10255232701310567,0.05502078967719034,0.21983663231100375
Baseline (K = 5),PIB real,29,-0.1062297987024291,0.05312307409677416,0.22209189653353922
Baseline (K = 5),PIB real,30,-0.10915866754022972,0.052918885199478745,0.22327689838810105
Baseline (K = 5),PIB real,31,-0.11277232519219431,0.05023254249925427,0.22095323748579457
Baseline (K = 5),PIB real,32,-0.11328382699518441,0.0466561200908622,0.22269022508177883
Baseline (K = 5),PIB real,33,-0.11297710356659721,0.04366211478967312,0.22189596623678548
Baseline (K = 5),PIB real,34,-0.11357891716882115,0.04403115636122159,0.2200339717438197
Baseline (K = 5),PIB real,35,-0.11325774706675959,0.040852779384562186,0.2219774671862732
Baseline (K = 5),PIB real,36,-0.11198012703542372,0.040539703515613396,0.2199471906909073
Baseline (K = 5),PIB real,37,-0.11013126054519054,0.04129335157352747,0.21831716398549691
Baseline (K = 5),PIB real,38,-0.1078653174511668,0.04231350079483684,0.2173595707842602
Baseline (K = 5),PIB real,39,-0.10585721418651306,0.045102513256723875,0.21750540276623237
Baseline (K = 5),PIB real,40,-0.10767677418764976,0.04490259105798808,0.22066089507596712
Baseline (K = 5),PIB real,41,-0.11028912104762247,0.043264501729810646,0.22263080509131988
Baseline (K = 5),PIB real,42,-0.10926940791258931,0.04351860037609677,0.22312911557413315
Baseline (K = 5),PIB real,43,-0.10757624402461825,0.043751155457514394,0.22172494197480075
Baseline (K = 5),PIB real,44,-0.10664004261658418,0.04494224909934244,0.22414166840853295
Baseline (K = 5),PIB real,45,-0.10624482659707517,0.0447828193087145,0.22515012455548195
Baseline (K = 5),PIB real,46,-0.10843223978248621,0.05164851444886408,0.22519052514429494
Baseline (K = 5),PIB real,47,-0.10898308356156305,0.05390481888444484,0.22579888957856614
Baseline (K = 5),PIB real,48,-0.10618634943734814,0.058672097720596866,0.22517192436806485
Baseline (K = 5),PIB real,49,-0.10325188879380699,0.060192988981169024,0.2274241330475204
Baseline (K = 5),PIB real,50,-0.10022436350296718,0.061798842279394105,0.23184314979202444
Baseline (K = 5),PIB real,51,-0.09716987181511227,0.06400967207914188,0.23561401231678117
Baseline (K = 5),PIB real,52,-0.09412339376138916,0.06610343089037045,0.23901961816083642
Baseline (K = 5),PIB real,53,-0.09184803611839693,0.06713355937316173,0.24203831087506528
Baseline (K = 5),PIB real,54,-0.0956449491188777,0.06815571484265034,0.2436830985517956
Baseline (K = 5),PIB real,55,-0.09614722788105749,0.06841927810704485,0.24636552620439175
Baseline (K = 5),PIB real,56,-0.09506026398855456,0.06878286028316352,0.24903534866390412
Baseline (K = 5),PIB real,57,-0.09609171671575636,0.06901562053620361,0.25070744903327696
Baseline (K = 5),PIB real,58,-0.09828011474099242,0.06911288821870779,0.25093820584317356
Baseline (K = 5),PIB real,59,-0.098373043201803,0.06984088521463823,0.25157751721440524
Baseline (K = 5),PIB real,60,-0.094846659441757325,0.07563790169185691,0.2548634357600127
K = 2,PIB real,0,-0.1123381790538758,-0.006289817686106513,0.12329026398563005
